date	weight	food	activity	difference
1/22	160		weights	0
1/23	158.2		none	-1.8
1/24	158.8		ball	0.6
1/25	158.2		none	-0.6
1/26	158.8		ball	0.6
1/27	157.8		none	-1
1/28	159.2		none	1.4
1/29	158		none	-1.2
1/30	158.2		none	0.2
1/31	158.4		none	0.2
2/1	159		ball	0.6
2/2	157.6		none	-1.4
2/3	155.4		none	-2.2
2/4	156.2		weights	0.8
2/5	155.8		none	-0.4
2/6	157.2		ball	1.4
2/7	158.8		weights	1.6
2/8	160.6		ball	1.8
2/9	159.4	1	ball	-1.2
2/10	160.2	2	none	0.8
2/11	159.8	4	ball	-0.4
2/12	158	1	ball	-1.8
2/13	158.8	2	none	0.8
2/14	159.4	2	none	0.6
2/15	158.6	3	ball	-0.8
2/16	157.8	2	none	-0.8
2/17	157.4	2	none	-0.4
2/18	156.8	1	none	-0.6
2/19	157.2	2	ball	0.4
2/20	157.2	2	none	0
2/21	157.6	3	weights	0.4
2/22	155.8	3	ball	-1.8
2/23	156.4	4	none	0.6
2/24	155.8	3	none	-0.6
2/25	155.2	3	ball	-0.6
2/26	154.8	2	ball	-0.4
2/27	155.4	3	none	0.6
2/28	156.4	2	none	1
3/1	158.8	3	none	2.4
3/2	158.2	3	none	-0.6
3/3	157	4	none	-1.2
3/4	156.4	3	none	-0.6
3/5	156.2	3	ball	-0.2
3/6	155.6	4	none	-0.6
3/7	155.8	3	ball	0.2
3/8	155.6	3	none	-0.2
3/9	155.4	2	none	-0.2
3/10	155.6	4	none	0.2
3/11	155.2	3	none	-0.4
3/12	155.4	2	ball	0.2
